ID,Species,Order,Class,Phylum,Domain,Genome availability,Salinity concentration/range(w/v),Halotolerance classification
1,Halobacterium jilantaiense,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,"16% - 30%, optimum 18% - 20%",Moderate 
2,Halobacterium noricense,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,>12%,Moderate 
3,Halococcus salifodinae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,>12%,Moderate 
4,Halococcus saccharolyticus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,"15% - satr, optimum 25%",Extreme
5,Haloarcula hispanica,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,complete genome,>12%,Moderate 
6,Haloarcula marismortui,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,complete genome,"10% - 30%, optimum 20% - 23%",Extreme
7,Haloarcula sp. CBA1115,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,complete genome,>12%,Moderate 
9,Halomicrobium mukohataei,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,complete genome,>12%,Moderate 
10,Natronomonas pharaonis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,complete genome,>12%,Moderate 
11,Halobacterium salinarum,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,complete genome,">12%, NaCl saturation",Moderate 
12,Halalkalicoccus jeotgali,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,complete genome,"10% - 30%, optimum 15%",Moderate 
13,Halorhabdus utahensis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,complete genome,"9% - 30%, optimum 27%",Extreme
14,Haloarcula quadrata,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,>12%,Moderate 
15,Halosimplex carlsbadense,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,20% - 30% (optimum 25%),Extreme
16,Halococcus morrhuae (sarcina morrhuae),Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,">12%, 23.3%",Extreme
17,Haloarcula argentinensis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,"12% - 26%, optimum 15% - 17.5%",Moderate 
18,Haloarcula japonica,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,"15% - 30%, optimum 20%",Extreme
19,Haloarcula vallismortis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,">15%, optimum 25%",Extreme
