Specie,Halotolerance classification
Halobacterium jilantaiense,Moderate 
Halobacterium noricense,Moderate 
Halococcus salifodinae,Moderate 
Halococcus saccharolyticus,Extreme
Haloarcula hispanica,Moderate 
Haloarcula marismortui,Extreme
Haloarcula sp. CBA1115,Moderate 
Halomicrobium mukohataei,Moderate 
Natronomonas pharaonis,Moderate 
Halobacterium salinarum,Moderate 
Halalkalicoccus jeotgali,Moderate 
Halorhabdus utahensis,Extreme
Haloarcula quadrata,Moderate 
Halosimplex carlsbadense,Extreme
Halococcus morrhuae (sarcina morrhuae),Extreme
Haloarcula argentinensis,Moderate 
Haloarcula japonica,Extreme
Haloarcula vallismortis,Extreme
Haloarcula amylolytica,Moderate 
Halobacterium cutirubrum,Moderate 
Haloquadratum walsbyi,Moderate 
Haloferax gibbonsii,Moderate 
Haloferax mediterranei,Moderate 
Haloferax volcanii,Moderate 
Halorubrum lacusprofundi,Moderate 
Halogeometricum borinquense,Extreme
Halobaculum gomorrense,Moderate 
Halorubrum sodomense,Moderate 
Halorubrum trapanicum,Moderate 
Halorubrum vacuolatum,Moderate 
Haloferax sulfurifontis,Extreme
Haloferax elongans,Extreme
Haloferax mucosum,Extreme
Halorubrum saccharovorum,Moderate 
Haloferax denitrificans,Moderate 
Halorubrum distributum,Moderate 
Halorubrum coriense,Moderate 
Methanocalculus halotolerans,Moderate 
Methanohalophilus halophilus,Moderate 
Methanohalophilus portucalensis,Extreme
Methanosarcina acetivorans,Moderate 
Methanosalsum zhilinae (Methanohalophilus zhilinae),Slight
Methanohalophilus mahii,Moderate 
Methanohalobium evestigatum,Extreme
Natronococcus amylolyticus,Moderate 
Haloterrigena turkmenica,Moderate 
Natrialba magadii,Moderate 
Natronobacterium gregoryi,Moderate 
Natronococcus occultus,Moderate 
Halovivax ruber,Moderate 
Halopiger xanaduensis,Extreme
Halococcus sediminicola,Extreme
Halalkalicoccus tibetensis,Moderate
Halalkalicoccus paucihalophilus,Extreme
Haladaptatus paucihalophilus,Moderate
Haladaptatus pallidirubidus,Moderate
Haladaptatus litoreus,Extreme
Haladaptatus cibarius,Extreme
Halanaeroarchaeum sulfurireducens,Extreme
Halapricum salinum,Extreme
Halarchaeum grantii,Extreme
Halarchaeum acidiphilum,Moderate
Halarchaeum nitratireducens,Extreme
Halarchaeum rubridurum,Extreme
Halarchaeum salinum,Extreme
Halarchaeum solikamskense,Extreme
Haloarchaeobius amylolyticus,Extreme
Haloarchaeobius baliensis,Moderate
Haloarchaeobius iranensis,Extreme
Haloarchaeobius litoreus,Extreme
Haloarchaeobius salinus,Extreme
Haloarcula salaria,Extreme
Haloarcula tradensis,Extreme
Halobaculum magnesiiphilum,Moderate
Halobellus clavatus,Moderate
Halorientalis regularis,Extreme
Halobellus inordinatus,Moderate
