,metasub_sub_saharan_africa,metasub_north_america,metasub_south_america,metasub_europe,metasub_oceania,metasub_east_asia,metasub_middle_east
Enterobacter sp. FY-07,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed
Enterobacter sp. R4-368,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed
Enterobacter sp. 638,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed
Enterobacter sp. CRENT-193,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Fairly Observed
Enterobacter sp. E20,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Enterobacter sp. Crenshaw,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Fairly Observed
Enterobacter sp. HK169,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Enterobacter sp. ODB01,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Enterobacter cloacae,Always Observed,Mostly Observed,Mostly Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed
Enterobacter asburiae,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Enterobacter cancerogenus,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Enterobacter hormaechei,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Enterobacter cloacae complex 'Hoffmann cluster IV',Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Enterobacter cloacae complex sp. ECNIH7,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Mostly Observed
Enterobacter cloacae complex sp. 35734,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Enterobacter cloacae complex 'Hoffmann cluster III',Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed
Enterobacter ludwigii,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Mostly Observed
Enterobacter kobei,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed
Enterobacter xiangfangensis,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Fairly Observed
Klebsiella pneumoniae,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed
Klebsiella aerogenes,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Klebsiella oxytoca,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Always Observed
Klebsiella quasivariicola,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Klebsiella michiganensis,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Klebsiella variicola,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Klebsiella quasipneumoniae,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Fairly Observed
Klebsiella sp. M5al,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed
Klebsiella sp. 2N3,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Klebsiella sp. LTGPAF-6F,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Cronobacter sakazakii,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Cronobacter dublinensis,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Mostly Observed
Cronobacter muytjensii,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Mostly Observed
Cronobacter condimenti,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed
Cronobacter turicensis,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Mostly Observed
Cronobacter universalis,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed
Cronobacter malonaticus,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed
Citrobacter rodentium,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Mostly Observed
Citrobacter koseri,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Citrobacter amalonaticus,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Citrobacter farmeri,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed
Citrobacter sp. FDAARGOS_156,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Citrobacter freundii,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Always Observed
Citrobacter werkmanii,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Citrobacter freundii complex sp. CFNIH2,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Citrobacter braakii,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Citrobacter freundii complex sp. CFNIH3,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Citrobacter freundii complex sp. CFNIH9,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Fairly Observed
Kosakonia cowanii,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed
