Genus,Atacama.Desert...ID.10360,Hawaii.Volcanic.Soil...ID.1579,Panama.Soil...ID.1716,Canadian.MetaMicrobiome...ID.632,Serpentinite.Hosted.Microbiome...ID.713,Polluted.Polar.Coastal.Sediments...ID.1198,McMurdo.Lakes...ID.638,Great.Lake.Microbiome...ID.1041,Global.Coral.Microbiome.Project...ID.10895,Tara.Counts,Vulcano.Counts,Polar.Counts,Phyllo.Counts,Panama.Counts,Lakes.Counts,Hawaii.Counts,Costa.Counts,Air.Counts,Arabic.Counts,Thar.Counts,Antarctic.Counts
Jan-68,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3167,0,0,0,0,0
29-Apr,0,0,0,0,0,0,0,0,0,0,20,21,5,29,0,0,16,0,0,1,0
02d06,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,3,0,1,0,0
060F05-B-SD-P93,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
12up,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
5-7N15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0
A17,0,0,0,0,0,0,0,0,0,0,20,26,0,128,70,36,0,0,0,41,169
Abies,0,0,0,0,76,0,0,0,0,0,0,0,11,0,38,0,0,0,0,0,0
Abiotrophia,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0
Acanthamoeba,5,0,1,0,117,0,0,0,3,0,0,0,0,0,0,139,0,0,0,0,0
Acanthopleuribacter,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0
Acaricomes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,2,59
Acarospora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acaryochloris,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,1,0,0,0,0
Acetitomaculum,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Acetivibrio,7,4,1,4,24,3,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0
Acetobacter,0,0,0,1,2,0,0,1,0,18,0,0,16,1,0,219,0,0,0,0,5
Acetobacterium,0,0,0,0,0,4,0,0,0,0,8,220,0,0,2,4,0,0,0,0,0
Acholeplasma,0,2,0,0,306,2,0,0,0,252,0,11101,0,0,0,0,0,0,0,0,0
Achromatium,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Achromobacter,0,0,0,0,0,0,0,0,0,5631,0,5,0,3,0,0,3,0,0,0,1268
Acidaminobacter,0,0,0,0,0,0,0,0,0,11,0,396,0,0,0,7,0,0,0,0,0
Acidaminococcus,0,2,0,0,0,3,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
Acidicaldus,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Acidicapsa,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13,0,0,0,0,0
Acidiferrobacter,0,0,0,0,0,0,0,0,0,658,0,0,0,0,0,0,0,0,0,0,0
Acidimicrobium,0,0,0,0,129,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0
Acidiphilium,0,0,0,0,1,0,0,0,0,16,0,29,0,0,0,12060,1,0,6,6,266
Acidisoma,0,0,0,0,0,0,0,0,0,3,0,4,3309,5,0,2,0,0,2,0,0
Acidisphaera,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Aciditerrimonas,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Acidithiobacillus,5,0,0,0,2,0,0,0,0,23,0,34,0,0,0,0,6,0,2,0,0
Acidithiomicrobium,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacterium,0,85,5,1,2984,6,3,1,8,0,0,0,0,0,0,22,0,0,0,0,0
Acidocella,0,0,0,0,0,0,0,0,0,9,1,13,0,4,1,0,2,0,6,64,25
Acidomonas,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Acidopila,0,0,0,0,0,0,0,0,0,0,0,42,0,2,0,1,0,0,2,1,0
Acidothermus,0,0,0,0,338,1,2,0,3,9,0,0,0,0,0,0,0,0,0,0,0
Acidovorax,0,0,0,0,7,0,0,0,0,2938,235,932,46,55,712,0,0,298,0,3,11890
Acinetobacter,0,0,0,0,99,0,0,0,0,8130,15,1059,1180,105,651,93,3,1425,0,0,3467
Acorus,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Acrocarpospora,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
Actibacter,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0
Actinoallomurus,0,9,3,0,32,0,0,0,0,18,0,0,0,35,0,2,0,0,0,5,120
Actinoalloteichus,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,6,0,0,7,1
Actinobacillus,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0
Actinobaculum,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Actinocatenispora,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
Actinocorallia,0,0,0,0,2,0,0,0,0,0,0,1,1,4,0,9,0,0,0,6,18
Actinokineospora,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,7420,0,0,0,1,13
Actinomadura,4,11,1,0,96,0,2,0,2,5,3,3,4,25,1,68,0,0,0,173,294
Actinomyces,0,1,0,2,34,2,2,2,1,107,2,108,6,1,85,4,0,1,0,0,31
Actinomycetales,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,0,32
Actinomycetospora,0,0,0,0,0,0,0,0,0,7,2,10,21,4,0,0,0,1,0,35,2429
Actinoplanes,1,4,2,0,1251,0,2,0,0,10,1,0,28,14,0,326,0,0,0,420,84
Actinopolymorpha,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,63
Actinopolyspora,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinospica,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Actinosynnema,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Actinotalea,0,0,0,0,0,0,0,0,0,19,2,142,1,0,0,0,1,0,0,5,323
Acutodesmus,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0
Adhaeribacter,0,0,0,0,0,0,0,0,0,4,10,304,214,247,4,0,6,5,6,316,4132
Adiantum,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adlercreutzia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
AEGEAN-169 marine group,0,0,0,0,0,0,0,0,0,402666,0,0,0,0,0,0,0,0,0,0,0
Aequorivita,0,0,0,0,0,0,0,0,0,418,0,1113,0,0,0,0,0,0,0,0,15468
Aeribacillus,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Aerococcus,0,0,0,0,7,0,1,0,0,86,3,1,11,0,2,0,0,0,0,0,39
Aeromicrobium,0,0,0,0,52,0,0,0,0,38,2,109,27,10,6,3,1,0,4,23,1521
Aeromonas,0,0,0,0,678,0,0,0,0,1710,0,1,7,0,0,0,0,0,0,0,0
Aestuariibacter,0,0,0,0,0,0,0,0,0,7298,0,0,0,0,0,0,0,0,0,0,0
Aestuariicola,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
Aestuariimicrobium,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
Aetherobacter,0,0,0,0,0,0,0,0,0,0,12,72,0,53,2,7,20,0,0,0,109
Afifella,0,0,0,0,1,0,0,0,0,8,8,53,7,109,4,5,54,0,752,284,20178
Afipia,0,0,0,0,28,0,0,0,0,55,0,19,0,7,0,4,0,4,0,0,152
Agaricicola,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
Agarivorans,0,0,0,0,1,0,0,0,0,10,5,20,0,0,0,0,0,0,0,0,1
Agathis,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatibacter,0,0,0,0,0,0,0,0,0,12,0,2,41,0,14,1,0,0,0,0,63
Agreia,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
Agrobacterium,0,0,0,0,55,0,0,0,0,0,25,156,13,651,9,0,2,1,0,80,2785
Agrococcus,0,0,3,0,468,0,0,0,0,71,1,262,0,0,0,1,2,0,0,1,46922
Agromyces,0,0,1,1,113,0,6,1,0,131,2,49,23,26,6,91,1,0,0,11,5643
Agrostis,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahrensia,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0
Aidingimonas,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0
Akkermansia,0,0,0,7,32,0,0,7,0,8,0,4,0,0,286,1,0,0,0,0,0
AKYG587,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
Albidiferax,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Albimonas,0,0,0,0,0,0,0,0,0,1269,0,0,0,0,0,0,0,0,0,0,0
Alcaligenes,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1
Alcanivorax,0,0,0,0,10,0,0,0,0,9510,15,129,87,0,0,50,3,0,3,0,162
Algibacter,0,0,0,0,0,0,0,0,0,456,1,0,0,0,0,0,0,0,0,0,0
Algicola,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0
Algidimarina,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
Algimonas,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
Algoriphagus,0,0,0,0,0,0,0,0,0,325,0,24,2,0,2,0,0,0,0,0,657
Aliagarivorans,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,6
Alicycliphilus,0,0,0,0,0,0,0,0,0,0,0,1,0,6,48,0,0,40,0,0,3
Alicyclobacillus,0,11,2,2,4636,0,1,2,7,4,4,108,75,83,187,3,0,1,2,422,656
Aliidiomarina,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0
Aliihoeflea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aliivibrio,0,0,0,0,0,0,0,0,0,1081,40,19,5,0,0,0,0,0,0,0,0
Alishewanella,0,0,0,0,0,0,0,0,0,433,0,224,0,0,0,0,0,0,0,0,271
Alistipes,0,8,2,1,14,2,0,1,0,15,0,0,0,0,1,0,0,0,0,0,0
Alkalibacter,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,187,0,0,0,0,1
Alkalibacterium,0,0,0,0,0,1,0,0,0,102,0,1,1,0,1,0,0,1,0,0,0
Alkaliflexus,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,13
Alkalilimnicola,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
Alkalimonas,0,0,0,0,0,0,0,0,0,3,0,39,0,0,0,0,0,0,0,0,162
Alkaliphilus,0,5,0,0,81,11,0,0,1,13,0,50,4,0,0,3,0,0,1,0,0
Alkanibacter,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Alkanindiges,0,0,0,0,0,0,0,0,0,66,0,260,0,0,0,0,0,0,1,0,0
Allisonella,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Allobaculum,0,0,0,0,0,0,0,0,0,20,0,0,0,0,75,1,0,0,0,0,0
Allobeggiatoa,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Allochromatium,0,0,0,0,1,0,0,0,0,151,0,341,0,0,0,0,1,0,7,0,0
Alloiococcus,0,0,0,0,0,0,0,0,0,2,1,0,7,0,53,0,0,0,0,0,28
Alloscardovia,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3
Alnus,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphabaculovirus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpinimonas,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
Altererythrobacter,0,0,0,0,0,0,0,0,0,1671,0,1418,0,0,0,7,0,0,0,0,729
Alternaria,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alterococcus,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Alteromonas,0,0,0,0,0,0,0,0,0,230871,517,1,0,0,0,0,1,0,0,0,134
Amandinea,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaricoccus,0,0,0,0,0,0,0,0,0,19,2,913,6,1,2,5,0,0,0,0,469
Aminobacter,0,0,0,0,15,0,0,0,0,38,0,0,2,1,0,2263,0,0,0,0,18
Ammonifex,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammoniphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,1,0,0,33,6
Amnibacterium,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
Amorphus,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0
Amphibacillus,6,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphritea,0,0,0,0,0,0,0,0,0,63,0,229,0,0,0,0,11,0,0,0,125
Amycolatopsis,10,15,2,0,383,0,7,0,3,12,1,10,1,25,1,78276,2,0,0,82,1315
Amycolicicoccus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Anabaena,0,0,0,0,23,1,0,0,4,0,0,23,0,0,0,0,0,0,0,1,2
Anabaenopsis,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
Anaerobacillus,0,0,0,0,1,0,0,0,0,2,0,0,2,17,0,0,0,0,0,0,0
Anaerobaculum,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Anaerobiospirillum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Anaerobranca,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Anaerococcus,0,1,0,0,1,1,1,0,0,44,2,191,1,0,86,0,0,1,0,0,31
Anaerofilum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Anaerofustis,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
Anaerolinea,0,0,0,0,0,0,0,0,0,25,0,820,0,32,2,0,0,0,0,0,0
Anaeromyxobacter,0,0,0,0,185,0,0,0,0,32,13,2842,32,783,0,28,147,0,1,18,328
Anaeroplasma,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0
Anaerorhabdus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Anaerospora,0,0,0,0,0,0,0,0,0,9,8,11125,0,1,3,3,0,0,0,0,147749
Anaerosporobacter,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes,0,0,0,0,0,0,0,0,0,33,0,71,2,0,0,0,0,0,0,0,0
Anaerotruncus,0,1,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
Anaerovibrio,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
Anaerovorax,0,0,0,0,0,0,0,0,0,16,3,9221,0,2,2,0,0,0,0,0,0
Anaplasma,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancalomicrobium,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Ancylobacter,0,0,0,0,10,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,1
Anderseniella,0,0,0,0,0,0,0,0,0,1631,0,0,0,0,0,0,0,0,0,0,0
Andreprevotia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aneurinibacillus,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1124,1,0,0,0,0
Angiopteris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0
Angulomicrobium,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ankylochrysis,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANME-3,0,0,0,0,0,0,0,0,0,100,0,9,0,0,0,0,0,0,0,0,0
Anncaliia,0,0,0,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Anomodon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,5,0,0
Anoxybacillus,0,0,0,0,1,0,0,0,0,8,1,253,1,5,0,1604,0,0,0,330,67
Anoxynatronum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Antarcticimonas,0,0,0,0,0,0,0,0,0,95,0,22,0,0,0,0,0,0,0,0,2
Antarctobacter,0,0,0,0,0,0,0,0,0,44,2,0,0,0,0,0,0,0,0,0,1
Aphanizomenon,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Aphanothece,0,0,0,0,13,1,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0
Aquabacterium,0,0,0,0,0,0,0,0,0,111,0,0,49,0,0,0,0,0,0,0,51
Aquamicrobium,0,0,0,0,0,0,0,0,0,385,0,33,0,1,0,81,0,2,0,0,35
Aquaspirillum,0,0,0,0,1,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,2
Aquicella,0,0,0,0,0,0,0,0,0,3123,106,2555,1,177,15,12,52,0,165,6,1303
Aquiflexum,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7
Aquimarina,0,0,0,0,3,0,0,0,0,1885,5,18,0,0,0,0,0,0,0,0,196
Aquimonas,0,0,0,0,8,0,2,0,0,3,0,123,0,0,3,0,0,0,5,0,22809
Aquirestis,0,0,0,0,0,0,0,0,0,0,265,1016,0,0,1046,0,0,0,0,0,1607
Aquisalimonas,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
Aquitalea,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,13,0,0,0,0,5
Arabidopsis,0,0,0,0,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arachnomyces,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Arcanobacterium,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Arcicella,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
Arcobacter,0,0,0,0,1,0,0,0,0,3479,400,11432,0,0,2,0,0,0,0,0,143
Arctic95A-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,720
Ardenscatena,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,211,0,0,1,3,0
Arenibacter,0,0,0,0,0,0,0,0,0,134,0,1763,0,0,0,0,0,0,0,0,19595
Arenicella,0,0,0,0,0,0,0,0,0,14143,0,0,0,0,0,0,0,0,0,0,0
Arenimonas,0,0,0,0,0,0,0,0,0,27,0,58,4,4,17,0,1,0,2,0,45
Arhodomonas,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Aristolochia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armatimonas,0,0,0,0,0,0,0,0,0,0,4,9,0,0,16,0,0,0,0,0,2
Arsenicicoccus,0,0,0,0,0,0,0,0,0,9,0,11,0,0,4,0,5,0,6,0,0
Arsenophonus,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Arthrobacter,11,8,2,6,7390,5,18,6,3,1804,6,96,58,39,169,35,3,1,3,30,897
Arthronema,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,26,3
Arthrospira,0,1,0,0,10,0,0,0,0,170,1,28,0,1,2,4,0,0,3,9,5867
Asahi BRW2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Asaia,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
Asanoa,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
