Organism,Human Microbiome Body Site
Abiotrophia defectiva ATCC 49176,blood
Abiotrophia defectiva ATCC 49176,blood
Abiotrophia sp. HMSC24B09,not-specified
Absiella dolichum DSM 3991,gastrointestinal-tract
Acetobacteraceae bacterium AT-5844,skin
Acetobacteraceae bacterium AT-5844,skin
Acetomicrobium hydrogeniformans ATCC BAA-1850,gastrointestinal-tract
Achromobacter piechaudii ATCC 43553,airways
Achromobacter sp. HMSC070F04,not-specified
Achromobacter xylosoxidans C54,airways
Achromobacter xylosoxidans HMSC056C09,oral
Achromobacter xylosoxidans HMSC057D05,oral
Achromobacter xylosoxidans HMSC15D03,blood
Achromobacter xylosoxidans HMSC18C08,not-specified
Acidaminococcus intestini D21,not-specified
Acidaminococcus sp. BV3L6,not-specified
Acidaminococcus sp. HPA0509,not-specified
Acinetobacter baumannii,not-specified
Acinetobacter baumannii 6013113,skin
Acinetobacter baumannii 6013150,skin
Acinetobacter baumannii 6014059,skin
Acinetobacter baumannii AB042,not-specified
Acinetobacter baumannii AC12,blood
Acinetobacter baumannii AF-401,not-specified
Acinetobacter baumannii AF-673,oral
Acinetobacter baumannii ATCC 19606,urogenital-tract
Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841,urogenital-tract
Acinetobacter baumannii CMC-CR-MDR-Ab4,not-specified
Acinetobacter baumannii CMC-CR-MDR-Ab66,not-specified
Acinetobacter baumannii CMC-MDR-Ab59,oral
Acinetobacter baumannii HRAB-85,oral
Acinetobacter baumannii KAB01,not-specified
Acinetobacter baumannii KAB02,not-specified
Acinetobacter baumannii KAB03,oral
Acinetobacter baumannii KAB04,oral
Acinetobacter baumannii KAB05,blood
Acinetobacter baumannii KAB07,oral
Acinetobacter baumannii ORAB01,not-specified
Acinetobacter baumannii XDR-BJ83,not-specified
Acinetobacter beijerinckii CIP 110307,wound
Acinetobacter bereziniae HPC229,blood
Acinetobacter calcoaceticus RUH2202,skin
Acinetobacter gerneri DSM 14967 = CIP 107464,not-specified
Acinetobacter gyllenbergii NIPH 230,urogenital-tract
Acinetobacter haemolyticus ATCC 19194,airways
Acinetobacter haemolyticus TJS01,not-specified
Acinetobacter johnsonii SH046,skin
Acinetobacter junii SH205,gastrointestinal-tract
Acinetobacter lwoffii SH145,skin
Acinetobacter radioresistens SH164,gastrointestinal-tract
Acinetobacter radioresistens SK82,skin
Acinetobacter schindleri CIP 107287,urogenital-tract
Acinetobacter sp. ATCC 27244 ATCC 27244,skin
Acinetobacter sp. RUH2624,skin
Acinetobacter sp. SH024,skin
Acinetobacter ursingii DSM 16037 = CIP 107286,blood
Actinobacillus ureae ATCC 25976,airways
Actinobaculum massiliense ACS-171-V-COL2,urogenital-tract
Actinobaculum sp. oral taxon 183 F0552,not-specified
Actinomadura madurae LIID-AJ290,not-specified
Actinomyces cardiffensis F0333,oral
Actinomyces cardiffensis F0333,oral
Actinomyces coleocanis DSM 15436,urogenital-tract
Actinomyces dentalis DSM 19115,not-specified
Actinomyces europaeus ACS-120-V-Col10b,not-specified
Actinomyces georgiae DSM 6843,not-specified
Actinomyces georgiae F0490,oral
Actinomyces graevenitzii C83,airways
Actinomyces graevenitzii F0530,not-specified
Actinomyces hongkongensis HKU8,not-specified
Actinomyces johnsonii F0510,not-specified
Actinomyces johnsonii F0542,not-specified
Actinomyces johnsonii F0542,not-specified
Actinomyces massiliensis 4401292,not-specified
Actinomyces massiliensis F0489,oral
Actinomyces naeslundii Howell 279,airways
Actinomyces neuii BVS029A5,urogenital-tract
Actinomyces neuii MJR8396A,urogenital-tract
Actinomyces neuii neuii DSM 8576,not-specified
Actinomyces odontolyticus ATCC 17982,oral
Actinomyces odontolyticus F0309,airways
Actinomyces radicidentis CCUG 36733,not-specified
Actinomyces sp. HMSC035G02,oral
Actinomyces sp. HMSC062G12,not-specified
Actinomyces sp. HMSC064C12,not-specified
Actinomyces sp. HMSC065F11,not-specified
Actinomyces sp. HMSC065F12,not-specified
Actinomyces sp. HMSC06A08,urogenital-tract
Actinomyces sp. HMSC072A03,urogenital-tract
Actinomyces sp. HMSC075B09,not-specified
Actinomyces sp. HMSC075C01,not-specified
Actinomyces sp. HMSC08A01,urogenital-tract
Actinomyces sp. HMSC08A09,not-specified
Actinomyces sp. HPA0247,not-specified
Actinomyces sp. ICM39,not-specified
Actinomyces sp. ICM47,oral
Actinomyces sp. ICM54,not-specified
