scientific_name,taxonomic_id,rank,air_counts,alfisols,andisols,animal_pathogen,antarctic_counts,antimicrobial_susceptibility,arabic_counts,atacama_desert___id_10360,biofilm_forming,canadian_metamicrobiome___id_632,costa_counts,depth/altitude,drylands,entisols,extreme_environment,gelisols,genome_availability,global_coral_microbiome_project___id_10895,gram_stain,great_lake_microbiome___id_1041,hawaii_counts,hawaii_volcanic_soil___id_1579,high_ph,host_lineage,host_name,human_disease_causing,human_microbiome_body_site,inceptisols,lakes_counts,latitude,longitude,low_ph,low_productivity,mcmurdo_lakes___id_638,microbe_id,mollisols,optimal_ph,optimal_temperature,panama_counts,panama_soil___id_1716,pathogenicity,phyllo_counts,plant_pathogen,polar_counts,polluted_polar_coastal_sediments___id_1198,salinity_concentration/range(w/v),sand_rock_ice,serpentinite_hosted_microbiome___id_713,spore_forming,tara_counts,thar_counts,trophic_level,ultisols,vertisols,virus_lineage,virus_name,vulcano_counts
Abditibacteria,2109259,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abditibacteriales,2109260,order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abditibacteriota,2109258,phylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abditibacterium,2109263,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abiotrophia,46123,genus,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,2.0,,0.0,0.0,,,0.0,,5.0,0.0,,,,,,0.0
Abiotrophia defectiva,46125,species,,,,,,Sometimes,,,,,,,,,,,,,Positive,,,,,,,Sometimes,,,,,,,,,6903.0,,,,,,2.0,,,,,,,,Never,,,,,,,,
Abiotrophia para-adiacens,191553,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abiotrophia sp. HMSC24B09,1581061,species,,,,,,,,,,,,,,,,,,,,,,,,,,,not-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibacteriaceae,2109261,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absiella,2057233,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absiella argi,1671597,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absiella dolichum,31971,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absiella tortuosum,39494,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssibacter,2320199,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssibacter profundi,2182787,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssicoccus,1955413,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssicoccus albus,1817405,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssivirga,1792300,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssivirga alkaniphila,1675854,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthopleuribacter,442869,genus,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,670.0,0.0,,,,,,0.0
Acanthopleuribacter pedis,442870,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthopleuribacteraceae,533207,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthopleuribacterales,533206,order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acaricomes,291967,genus,0.0,,,,59.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,2.0,0.0,,,,,,,1.0,,,,,0.0,,,,,0.0,0.0,,0.0,,2.0,0.0,,,0.0,,0.0,2.0,,,,,,0.0
Acaricomes phytoseiuli,291968,species,,,,Sometimes,,,,,,,,,,,Mesophiles,,,,Positive,,,,,,,Maybe,,,,,,,,,5428.0,,7.0,25.0,,,1.0,,Maybe Not,,,,,,Never,,,,,,,,
Acaryochloridaceae,1890429,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acaryochloris,155977,genus,0.0,,,,0.0,,0.0,0.0,,0.0,1.0,,,,,,,1.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,20.0,0.0,,,,,,0.0
Acaryochloris marina,155978,species,,,,Maybe Not,,Maybe Not,,,,,,,,,,,,,,,,,,,,Maybe,,,,,,,,,2722.0,,,32.5,,,,,Maybe Not,,,,,,,,,,,,,,
Acetanaerobacterium,258514,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetatifactor,1427378,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetatifactor muris,879566,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetitomaculum,31980,genus,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,3.0,0.0,,,,,,0.0
Acetitomaculum ruminis,2382,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetivibrio,35829,genus,0.0,,,,0.0,,0.0,7.0,,4.0,0.0,,,,,,,4.0,,4.0,0.0,4.0,,,,,,,0.0,,,,,4.0,,,,,0.0,1.0,,0.0,,0.0,3.0,,,24.0,,2.0,0.0,,,,,,0.0
Acetivibrio ethanolgignens,290052,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetoanaerobium,186831,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetoanaerobium noterae,745369,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetoanaerobium pronyense,1482736,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetoanaerobium sticklandii,1511,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter,434,genus,0.0,,,,5.0,,0.0,0.0,,1.0,0.0,,,,,,,0.0,,1.0,219.0,0.0,,,,,,,0.0,,,,,0.0,,,,,1.0,0.0,,16.0,,0.0,0.0,,,2.0,,18.0,0.0,,,,,,0.0
Acetobacter aceti,435,species,,,,,,,,,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,1820.0,,,,,,,,,,,,,,,,,,,,,,
Acetobacter ascendens,481146,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
