,scientific_name,taxonomic_id,rank,organism_name_x,genome availability,salinity concentration/range(w/v),halotolerance classification,unnamed: 0_x,metasub_offa,metasub_new_york_city,metasub_rio_de_janeiro,metasub_fairbanks,metasub_porto,metasub_auckland,metasub_hamilton,metasub_sacramento,metasub_santiago,metasub_berlin,metasub_bogota,metasub_tokyo,metasub_ilorin,metasub_denver,metasub_lands_end,metasub_birmingham,metasub_newcastle,metasub_bury,metasub_eden,metasub_edinborough,metasub_jaywick,metasub_eastbourne,metasub_bradford,metasub_bristol,metasub_other_x,metasub_belfast,metasub_swansea,metasub_islington,metasub_kensington,metasub_cairngorm,metasub_pos_control,metasub_neg_control,metasub_london,metasub_kyiv,metasub_singapore,metasub_other_control,metasub_sao paulo,metasub_fukuoka,metasub_san francisco,metasub_taipei,metasub_yamaguchi,metasub_minneapolis,metasub_baltimore,metasub_brisbane,metasub_tsuruoka,metasub_san_francisco,metasub_sendai,metasub_antarctica,metasub_lisbon,metasub_doha,metasub_hong_kong,metasub_oslo,metasub_control_x,metasub_stockholm,metasub_paris,metasub_hanoi,metasub_sao_paulo,metasub_vienna,metasub_sofia,metasub_naples,metasub_marseille,metasub_seoul,metasub_st_louis,metasub_zurich,metasub_kuala_lumpur,metasub_barcelona,unnamed: 0_y,metasub_sub_saharan_africa,metasub_north_america,metasub_south_america,metasub_europe,metasub_oceania,metasub_east_asia,metasub_middle_east,unnamed: 0,metasub_wood,metasub_rubber,metasub_metal,metasub_leather,metasub_tile,metasub_other_y,metasub_plastic,metasub_glass,metasub_stainless steel,metasub_fabric,metasub_concrete,metasub_marble,metasub_marble-like,metasub_faux leather,metasub_(faux?) leather,metasub_bmat,metasub_carpet,metasub_metal and marble,metasub_vinyl,metasub_painted_metal,metasub_metal_plastic,metasub_granite,metasub_-,metasub_metal_wood,metasub_pvc,"metasub_metal, painted plastic, plastic",metasub_air control,metasub_air,metasub_positive control zymo,metasub_control air,metasub_negative control (air),metasub_metal/rubber,metasub_negative control,metasub_metal rubber,metasub_stone,metasub_polyester,metasub_touchscreen surface,metasub_skin,metasub_plaster,metasub_cloth,metasub_artificial fiber,metasub_copper wire,metasub_asbestos,metasub_rope,metasub_plastic wool like belt,metasub_tiles,metasub_paper,metasub_chair,metasub_plastic and glass,metasub_leather seat,metasub_positive control,metasub_water,metasub_ceramic,metasub_fake leather,metasub_control_y,metasub_metal/plastic,metasub_not identified,metasub_flesh,metasub_human hand,metasub_hand,metasub_metal with wooden handle,metasub_painted wood,metasub_seat,metasub_floor,metasub_glass rubber plastic,metasub_cement,metasub_synthetic leather,metasub_cell cover and screen,metasub_plastic and rubber,metasub_synthetic,metasub_formica,metasub_metal and formica,metasub_cell-phone screen and plastic cover,metasub_(probable) polypropylene fiber,metasub_pole,metasub_carpet fabric,virus tax id,virus name,virus lineage,refseq id,kegg genome,kegg disease,disease,host tax id,host name,host lineage,pmid,evidence,sample type,source organism,organism_name_y,gram_stain,gram_stain_citation,microbiome_location,microbiome_location_citation,antimicrobial_susceptibility,antimicrobial_susceptibility_citation,optimal_temperature,optimal_temperature_citation,extreme_environment,extreme_environment_citation,biofilm_forming,biofilm_forming_citation,optimal_ph,optimal_ph_citation,animal_pathogen,animal_pathogen_citation,spore_forming,spore_forming_citation,pathogenicity,pathogenicity_citation,plant_pathogen,non_null
95,Colletotrichum higginsianum,80884,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1565088.0,Colletotrichum higginsianum non-segmented dsRNA virus 1,Viruses; dsRNA viruses; unclassified dsRNA viruses,NC_028242,,,,80884.0,Colletotrichum higginsianum,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Glomerellales; Glomerellaceae; Colletotrichum,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
117,Ustilaginoidea virens,1159556,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2305465.0,Ustilaginoidea virens nonsegmented virus 2,Viruses; dsRNA viruses; unclassified dsRNA viruses,NC_040846,,,,1159556.0,Ustilaginoidea virens,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Ustilaginoidea,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
118,Ustilaginoidea virens,1159556,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415665.0,Ustilaginoidea virens partitivirus 2,Viruses; dsRNA viruses; Partitiviridae; unclassified Partitiviridae,"NC_021873, NC_021874",,,,1159556.0,Ustilaginoidea virens,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Ustilaginoidea,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
119,Ustilaginoidea virens,1159556,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312445.0,Ustilaginoidea virens RNA virus 1,Viruses; dsRNA viruses; Totiviridae; Victorivirus; unclassified Victorivirus,NC_020997,,,,1159556.0,Ustilaginoidea virens,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Ustilaginoidea,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
120,Ustilaginoidea virens,1159556,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460374.0,Ustilaginoidea virens RNA virus 3,Viruses; dsRNA viruses; Totiviridae; Victorivirus; unclassified Victorivirus,NC_023547,,,,1159556.0,Ustilaginoidea virens,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Ustilaginoidea,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
121,Ustilaginoidea virens,1159556,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756615.0,Ustilaginoidea virens RNA virus 5,Viruses; dsRNA viruses; Totiviridae; Victorivirus; unclassified Victorivirus,NC_028477,,,,1159556.0,Ustilaginoidea virens,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Ustilaginoidea,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
122,Ustilaginoidea virens,1159556,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561171.0,Ustilaginoidea virens RNA virus L,Viruses; dsRNA viruses; Totiviridae; Victorivirus; unclassified Victorivirus,NC_025366,,,,1159556.0,Ustilaginoidea virens,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Ustilaginoidea,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
123,Ustilaginoidea virens,1159556,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561172.0,Ustilaginoidea virens RNA virus M,Viruses; dsRNA viruses; Totiviridae; Victorivirus; unclassified Victorivirus,NC_025367,,,,1159556.0,Ustilaginoidea virens,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Ustilaginoidea,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
124,Ustilaginoidea virens,1159556,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670975.0,Ustilaginoidea virens unassigned RNA virus HNND-1,Viruses; dsRNA viruses; unclassified dsRNA viruses,NC_027427,,,,1159556.0,Ustilaginoidea virens,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Ustilaginoidea,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
331,Ustilago maydis,5270,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28882.0,Ustilago maydis virus H1,Viruses; dsRNA viruses; Totiviridae; Totivirus,NC_003823,,,,5270.0,Ustilago maydis,Eukaryota; Fungi; Dikarya; Basidiomycota; Ustilaginomycotina; Ustilaginomycetes; Ustilaginales; Ustilaginaceae; Ustilago,,NCBI Virus,,,Ustilago maydis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33
