scientific_name,taxonomic_id,rank,atacama_desert___id_10360,hawaii_volcanic_soil___id_1579,panama_soil___id_1716,canadian_metamicrobiome___id_632,serpentinite_hosted_microbiome___id_713,polluted_polar_coastal_sediments___id_1198,mcmurdo_lakes___id_638,great_lake_microbiome___id_1041,global_coral_microbiome_project___id_10895,tara_counts,vulcano_counts,polar_counts,phyllo_counts,panama_counts,lakes_counts,hawaii_counts,costa_counts,air_counts,arabic_counts,thar_counts,antarctic_counts,virus_name,virus_lineage,kegg_genome,kegg_disease,disease,host_name,host_lineage,sample_type,microbe_id,gram_stain,human_disease_causing,antimicrobial_susceptibility,optimal_temperature,extreme_environment,biofilm_forming,optimal_ph,animal_pathogen,spore_forming,pathogenicity,plant_pathogen
20S RNA replicon,12439,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT8 retrovirus,12438,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAJ Hantavirus,1244521,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANMV-1 virus,1605378,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APSE phage Eptesicus fuscus/P5/IT/USA/2009,931927,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalivirus,2169637,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalivirus A,2169685,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abaca bunchy top virus,438782,species,,,,,,,,,,,,,,,,,,,,,,Abaca bunchy top virus,Viruses; ssDNA viruses; Nanoviridae; Babuvirus,,,,"Musa acuminata AAA Group, Musa sp.",Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Liliopsida; Petrosaviidae; Zingiberales; Musaceae; Musa,,1218.0,,Maybe,Maybe Not,,Mesophiles,,,Maybe Not,,,Sometimes
Abalone herpesvirus Taiwan/2004,1003448,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abalone herpesvirus Taiwan/2005,1821058,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abalone herpesvirus type 2 Taiwan/2007,1636535,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abalone shriveling syndrome-associated virus,491893,species,,,,,,,,,,,,,,,,,,,,,,Abalone shriveling syndrome-associated virus,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; unclassified Caudovirales",,,,Haliotis diversicolor aquatilis,Eukaryota; Metazoa; Mollusca; Gastropoda; Vetigastropoda; Lepetellida; Haliotoidea; Haliotidae; Haliotis; Haliotis diversicolor,,,,,,,,,,,,,
Abelson murine leukemia virus,11788,species,,,,,,,,,,,,,,,,,,,,,,Abelson murine leukemia virus,Viruses; Ortervirales; Retroviridae; Orthoretrovirinae; Gammaretrovirus; unclassified Gammaretrovirus,,,,Mus musculus,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Euarchontoglires; Rodentia; Myomorpha; Muridae; Murinae; Mus; Mus,,1156.0,,Maybe,Maybe Not,,Mesophiles,,,Sometimes,,,Maybe Not
Abidjanvirus,1982095,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abisko virus,2025595,species,,,,,,,,,,,,,,,,,,,,,,Abisko virus,Viruses; unclassified RNA viruses,,,,Epirrita autumnata,Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Geometroidea; Geometridae; Larentiinae; Epirrita,,,,,,,,,,,,,
Abouovirus,1984773,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abutilon Brazil virus,665102,species,,,,,,,,,,,,,,,,,,,,,,Abutilon Brazil virus,Viruses; ssDNA viruses; Geminiviridae; Begomovirus,,,,"Malva parviflora, Abutilon, Nicotiana benthamiana","Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Malvales; Malvaceae; Malvoideae, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Malvales; Malvaceae; Malvoideae; Malva",,269.0,,Maybe,,,Mesophiles,,,Maybe Not,,,Sometimes
Abutilon geminivirus,75571,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abutilon golden mosaic virus,1926117,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abutilon mosaic Bolivia virus,932071,species,,,,,,,,,,,,,,,,,,,,,,Abutilon mosaic Bolivia virus,Viruses; ssDNA viruses; Geminiviridae; Begomovirus,,,,Abutilon,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Malvales; Malvaceae; Malvoideae,,3841.0,,Maybe,,,Mesophiles,,,Maybe Not,,,Sometimes
Abutilon mosaic Brazil virus,1046572,species,,,,,,,,,,,,,,,,,,,,,,Abutilon mosaic Brazil virus,Viruses; ssDNA viruses; Geminiviridae; Begomovirus,,,,"Sida rhombifolia, Blainvillea rhomboidea","Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Asterales; Asteraceae; Asteroideae; Heliantheae; Blainvillea, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Malvales; Malvaceae; Malvoideae; Sida",,6475.0,,Maybe,,,Mesophiles,,,Maybe Not,,,Sometimes
