,scientific name,taxonomic_id,rank
Poxviridae,Poxviridae,10240,family
Chordopoxvirinae,Chordopoxvirinae,10241,subfamily
Orthopoxvirus,Orthopoxvirus,10242,genus
Cowpox virus,Cowpox virus,10243,species
Monkeypox virus,Monkeypox virus,10244,species
Vaccinia virus,Vaccinia virus,10245,species
Variola virus,Variola virus,10255,species
Raccoonpox virus,Raccoonpox virus,10256,species
Parapoxvirus,Parapoxvirus,10257,genus
Orf virus,Orf virus,10258,species
Avipoxvirus,Avipoxvirus,10260,genus
Fowlpox virus,Fowlpox virus,10261,species
Pigeonpox virus,Pigeonpox virus,10264,species
Capripoxvirus,Capripoxvirus,10265,genus
Sheeppox virus,Sheeppox virus,10266,species
Leporipoxvirus,Leporipoxvirus,10270,genus
Rabbit fibroma virus,Rabbit fibroma virus,10271,species
Myxoma virus,Myxoma virus,10273,species
Malignant rabbit fibroma virus,Malignant rabbit fibroma virus,10274,species
Suipoxvirus,Suipoxvirus,10275,genus
Swinepox virus,Swinepox virus,10276,species
Molluscipoxvirus,Molluscipoxvirus,10278,genus
Molluscum contagiosum virus,Molluscum contagiosum virus,10279,species
Yatapoxvirus,Yatapoxvirus,10282,genus
unidentified poxvirus,unidentified poxvirus,10283,species
Entomopoxvirinae,Entomopoxvirinae,10284,subfamily
Betaentomopoxvirus,Betaentomopoxvirus,10286,genus
Choristoneura biennis entomopoxvirus,Choristoneura biennis entomopoxvirus,10288,species
Heliothis armigera entomopoxvirus,Heliothis armigera entomopoxvirus,10290,species
unidentified entomopoxvirus,unidentified entomopoxvirus,10291,species
Herpesviridae,Herpesviridae,10292,family
Alphaherpesvirinae,Alphaherpesvirinae,10293,subfamily
Simplexvirus,Simplexvirus,10294,genus
Bovine alphaherpesvirus 2,Bovine alphaherpesvirus 2,10295,species
Human alphaherpesvirus 1,Human alphaherpesvirus 1,10298,species
Human alphaherpesvirus 2,Human alphaherpesvirus 2,10310,species
Cercopithecine alphaherpesvirus 2,Cercopithecine alphaherpesvirus 2,10317,species
Varicellovirus,Varicellovirus,10319,genus
Bovine alphaherpesvirus 1,Bovine alphaherpesvirus 1,10320,species
Macacine alphaherpesvirus 1,Macacine alphaherpesvirus 1,10325,species
Equid alphaherpesvirus 1,Equid alphaherpesvirus 1,10326,species
Equid alphaherpesvirus 4,Equid alphaherpesvirus 4,10331,species
Felid alphaherpesvirus 1,Felid alphaherpesvirus 1,10334,species
Human alphaherpesvirus 3,Human alphaherpesvirus 3,10335,species
Suid alphaherpesvirus 1,Suid alphaherpesvirus 1,10345,species
Saimiriine alphaherpesvirus 1,Saimiriine alphaherpesvirus 1,10353,species
Betaherpesvirinae,Betaherpesvirinae,10357,subfamily
Cytomegalovirus,Cytomegalovirus,10358,genus
Human betaherpesvirus 5,Human betaherpesvirus 5,10359,species
Simian cytomegalovirus,Simian cytomegalovirus,10364,species
Muromegalovirus,Muromegalovirus,10365,genus
Murid betaherpesvirus 1,Murid betaherpesvirus 1,10366,species
Human betaherpesvirus 6,Human betaherpesvirus 6,10368,species
Equid gammaherpesvirus 5,Equid gammaherpesvirus 5,10371,species
Human betaherpesvirus 7,Human betaherpesvirus 7,10372,species
Macaca mulatta cytomegalovirus,Macaca mulatta cytomegalovirus,10373,species
Gammaherpesvirinae,Gammaherpesvirinae,10374,subfamily
Lymphocryptovirus,Lymphocryptovirus,10375,genus
Human gammaherpesvirus 4,Human gammaherpesvirus 4,10376,species
Rhadinovirus,Rhadinovirus,10379,genus
Ateline gammaherpesvirus 2,Ateline gammaherpesvirus 2,10380,species
Saimiriine gammaherpesvirus 2,Saimiriine gammaherpesvirus 2,10381,species
Bovine gammaherpesvirus 4,Bovine gammaherpesvirus 4,10385,species
Gallid alphaherpesvirus 1,Gallid alphaherpesvirus 1,10386,species
Gallid alphaherpesvirus 2,Gallid alphaherpesvirus 2,10390,species
Herpesvirus sylvilagus,Herpesvirus sylvilagus,10395,species
Tupaiid betaherpesvirus 1,Tupaiid betaherpesvirus 1,10397,species
Ovine gammaherpesvirus 2,Ovine gammaherpesvirus 2,10398,species
Ictalurid herpesvirus 1,Ictalurid herpesvirus 1,10401,species
Hepadnaviridae,Hepadnaviridae,10404,family
Orthohepadnavirus,Orthohepadnavirus,10405,genus
Ground squirrel hepatitis virus,Ground squirrel hepatitis virus,10406,species
Hepatitis B virus,Hepatitis B virus,10407,species
Avihepadnavirus,Avihepadnavirus,10437,genus
Baculoviridae,Baculoviridae,10442,family
Lymantria dispar multiple nucleopolyhedrovirus,Lymantria dispar multiple nucleopolyhedrovirus,10449,species
Orgyia pseudotsugata single capsid nuclopolyhedrovirus,Orgyia pseudotsugata single capsid nuclopolyhedrovirus,10450,species
Panolis flammea nucleopolyhedrovirus,Panolis flammea nucleopolyhedrovirus,10453,species
