,0,1
scientific_name,7320.0,7320
taxonomic_id,7320.0,7320
rank,7320.0,7320
alfisols,52.0,52
andisols,52.0,52
animal_pathogen,2379.0,2379
antimicrobial_susceptibility,2379.0,2379
biofilm_forming,2379.0,2379
count_tara,1292.0,5504
counts_grapevine,67.0,69
counts_money,24.0,24
counts_soil,85.0,88
depth/altitude,22.0,22
drylands,23.0,23
emp_a_decade_of_seasonal_dynamics_and_co-occurrences_within_freshwater_bacterioplankton_communities_from_eutrophic_lake_mendota__wi__usa,1193.0,5078
emp_african_buffalo_gut_microbiome,1193.0,5078
emp_agricultural_intensification_and_the_functional_capacity_of_soil_microbes_on_smallholder_african_farms_(kakamenga__kenya),1193.0,5078
emp_agricultural_intensification_and_the_functional_capacity_of_soil_microbes_on_smallholder_african_farms_(southwestern_kenya),1193.0,5078
emp_anaerobic_ammonium-oxidizing_bacteria_in_marine_environments:_widespread_occurrence_but_low_diversity,1193.0,5078
emp_bacterial_community_spatial_and_temporal_variation_in_a_north_temperate_bog_lake,1193.0,5078
emp_biodiversity_and_functional_patterns_of_microbial_assemblages?áin_relation_to_land-use_change_in_postglacial_pond_sediment_profiles,1193.0,5078
emp_biofilms_on_carbonate_chimneys_of_the_lost_city_hydrothermal_field_on_the_mid-atlantic_ridge,1193.0,5078
emp_biogeographical_distribution_and_diversity_of_microbes_in_methane_hydrate-bearing_deep_marine_sediments_on_the_pacific_ocean_margin,1193.0,5078
emp_biological_oxygen_demand_optode_analysis_of_coral_reef-associated_microbial_communities_exposed_to_algal_exudates,1193.0,5078
emp_bioremediation_of_hydrocarbon-contaminated_soils_from_maritime_antarctica,1193.0,5078
emp_bird_eggshells_from_spain,1193.0,5078
emp_canadian_metamicrobiome_initiative_samples,1193.0,5078
emp_catchment_sources_of_microbes,1193.0,5078
emp_catlin_arctic_survey_2010_l3,1193.0,5078
emp_changes_in_microbial_communities_along_redox_gradients_in_polygonized_arctic_wet_tundra_soils,1193.0,5078
emp_characterization_of_bird_gut_microbiome_-_gizzard__upper_intestine__lower_intestine_from_birds_in_venezuela,1193.0,5078
emp_chu_changbai_mountain_soil,1193.0,5078
emp_co-diversification_of_marine_mammals_and_their_skin_microbiomes,1193.0,5078
emp_comparative_analysis_of_the_microbial_communities_in_agricultural_soil_amended_with_enhanced_biochars_or_traditional_fertilisers,1193.0,5078
emp_continental-scale_variation_in_seaweed_host-associated_bacterial_communities_is_a_function_of_host_condition__not_geography,1193.0,5078
emp_convergence_of_gut_microbiomes_in_myrmecophagous_mammals,1193.0,5078
emp_deep_sediments_following_deepwater_horizon_oil_spill_in_gulf_of_mexico,1193.0,5078
emp_defining_seasonal_marine_microbial_community_dynamics,1193.0,5078
emp_discerning_marine_archaeal_mixotrophy_and_heterotrophy_in_the_deep_north_atlantic,1193.0,5078
emp_distinct_microbial_communities_associated_with_buried_soils_in_the_siberian_tundra,1193.0,5078
emp_ellowstone_gradients,1193.0,5078
emp_examination_of_microbial_communities_through_a_freshwater/saltwater_transition_zone_in_cenotes__ucatan__mexico,1193.0,5078
emp_exploring_links_between_ph_and_bacterial_community_composition_in_soils_from_the_craibstone_experimental_farm,1193.0,5078
emp_friedman_alaska_peat_soils,1193.0,5078
emp_geographic_distance_and_ph_drive_bacterial_distribution_in_alkaline_lake_sediments_across_tibetan_plateau,1193.0,5078
emp_global_patterns_of_16s_rrna_diversity_at_a_depth_of_millions_of_sequences_per_sample_(5prime),1193.0,5078
emp_great_lake_microbiome,1193.0,5078
emp_gut_microbiome_of_hibernating_bears,1193.0,5078
emp_gut_microbiota_and_health_in_wild_and_captive_colobine_primates,1193.0,5078
emp_gut_microbiota_of_phyllostomid_bats_that_span_a_breadth_of_diets,1193.0,5078
emp_halophilic_communities_as_a_source_for_novel_lignocellulolytic_enzymes,1193.0,5078
emp_hawaii_kohala_volcanic_soils,1193.0,5078
emp_human_and_environmental_impacts_on_river_sediment_microbial_communities,1193.0,5078
emp_impact_of_fire_on_active_layer_and_permafrost_microbial_communities_and_metagenomes_in_an_upland_alaskan_boreal_forest,1193.0,5078
emp_influence_of_tillage_practices_on_soil_microbial_diversity_and_activity_in_a_long-term_corn_experimental_field_under_continuous_maize_production,1193.0,5078
emp_intergenerational_lizard_lounges_do_not_explain_variation_in_the_gut_microbiomes_of_green_iguanas,1193.0,5078
emp_kilauea_geothermal_soils_and_biofilms,1193.0,5078
emp_laboratory-directed_research_and_development_for_biological_carbon_sequestration,1193.0,5078
emp_long-term_seasonal_development_in_selected_lakes_of_northeast_germany,1193.0,5078
