,scientific_name,counts
0,Abditibacteria,0
1,Abditibacteriales,0
2,Abditibacteriota,0
3,Abditibacterium,0
4,Abiotrophia,1
5,Abiotrophia defectiva,5
6,Abiotrophia para-adiacens,1
7,Abiotrophia sp. HMSC24B09,2
8,Abitibacteriaceae,0
9,Absiella,0
10,Absiella argi,0
11,Absiella dolichum,0
12,Absiella tortuosum,0
13,Abyssibacter,0
14,Abyssibacter profundi,0
15,Abyssicoccus,0
16,Abyssicoccus albus,0
17,Abyssivirga,0
18,Abyssivirga alkaniphila,0
19,Acanthopleuribacter,0
20,Acanthopleuribacter pedis,0
21,Acanthopleuribacteraceae,0
22,Acanthopleuribacterales,0
23,Acaricomes,1
24,Acaricomes phytoseiuli,9
25,Acaryochloridaceae,0
26,Acaryochloris,0
27,Acaryochloris marina,5
28,Acetanaerobacterium,0
29,Acetatifactor,0
30,Acetatifactor muris,0
31,Acetitomaculum,0
32,Acetitomaculum ruminis,0
33,Acetivibrio,0
34,Acetivibrio ethanolgignens,1
35,Acetoanaerobium,0
36,Acetoanaerobium noterae,0
37,Acetoanaerobium pronyense,0
38,Acetoanaerobium sticklandii,0
39,Acetobacter,1
40,Acetobacter aceti,1
41,Acetobacter ascendens,1
42,Acetobacter calcoaceticus,1
43,Acetobacter cerevisiae,1
44,Acetobacter cibinongensis,1
45,Acetobacter estunensis,1
46,Acetobacter fabarum,1
47,Acetobacter farinalis,1
48,Acetobacter ghanensis,1
49,Acetobacter indonesiensis,1
50,Acetobacter lambici,1
51,Acetobacter lovaniensis,1
52,Acetobacter malorum,1
53,Acetobacter musti,1
54,Acetobacter nitrogenifigens,1
55,Acetobacter oeni,1
56,Acetobacter okinawensis,1
57,Acetobacter orientalis,1
58,Acetobacter orleanensis,1
59,Acetobacter oryzifermentans,1
60,Acetobacter papayae,1
61,Acetobacter pasteurianus,4
62,Acetobacter peroxydans,1
63,Acetobacter persici,1
64,Acetobacter pomorum,1
65,Acetobacter senegalensis,1
66,Acetobacter subgen. Acetobacter,1
67,Acetobacter suratthaniensis,1
68,Acetobacter syzygii,1
69,Acetobacter thailandicus,1
70,Acetobacter tropicalis,1
71,Acetobacteraceae,0
72,Acetobacteraceae bacterium AT-5844,1
73,Acetobacterium,1
74,Acetobacterium woodii,3
75,Acetobacteroides,0
76,Acetobacteroides hydrogenigenes,0
77,Acetofilamentum,0
78,Acetofilamentum rigidum,0
79,Acetohalobium,1
80,Acetohalobium arabaticum,4
81,Acetomicrobium,0
82,Acetomicrobium flavidum,0
83,Acetomicrobium hydrogeniformans,0
84,Acetomicrobium mobile,0
85,Acetomicrobium thermoterrenum,0
86,Acetonema,1
87,Acetonema longum,7
88,Acetothermus,0
89,Acetothermus paucivorans,0
90,Acholeplasma,0
91,Acholeplasma axanthum,0
92,Acholeplasma brassicae,0
93,Acholeplasma cavigenitalium,0
94,Acholeplasma equifetale,0
95,Acholeplasma granularum,0
96,Acholeplasma hippikon,0
97,Acholeplasma laidlawii,4
98,Acholeplasma manati,0
99,Acholeplasma modicum,0
100,Acholeplasma morum,0
101,Acholeplasma multilocale,0
102,Acholeplasma oculi,0
103,Acholeplasma palmae,0
104,Acholeplasma parvum,0
105,Acholeplasma pleciae,0
106,Acholeplasma vituli,0
107,Acholeplasmataceae,0
108,Acholeplasmatales,0
109,Achromatium,0
110,Achromatium minus,0
111,Achromatium oxaliferum,0
112,Achromobacter,3
113,Achromobacter aegrifaciens,0
114,Achromobacter agile,0
115,Achromobacter agilis,0
116,Achromobacter aloeverae,0
117,Achromobacter animicus,0
118,Achromobacter anxifer,0
119,Achromobacter arsenitoxydans,1
120,Achromobacter cholinophagum,1
121,Achromobacter clevelandea,1
122,Achromobacter cycloclastes,1
