scientific_name,taxonomic_id,rank,animal_pathogen,antimicrobial_susceptibility,biofilm_forming,extreme_environment,genome_availability,gram_stain,halotolerance_classification,host_lineage,host_name,human_pathogen,kegg_genome,metasub_(faux?)_leather,metasub_(probable)_polypropylene_fiber,metasub_-,metasub_air,metasub_air_control,metasub_amaguchi,metasub_antarctica,metasub_artificial_fiber,metasub_asbestos,metasub_auckland,metasub_baltimore,metasub_barcelona,metasub_belfast,metasub_berlin,metasub_birmingham,metasub_bmat,metasub_bogota,metasub_bradford,metasub_brisbane,metasub_bristol,metasub_bury,metasub_cairngorm,metasub_carpet,metasub_carpet_fabric,metasub_cell-phone_screen_and_plastic_cover,metasub_cell_cover_and_screen,metasub_cement,metasub_ceramic,metasub_chair,metasub_cloth,metasub_concrete,metasub_control_air,metasub_copper_wire,metasub_denver,metasub_doha,metasub_east_asia,metasub_eastbourne,metasub_eden,metasub_edinborough,metasub_europe,metasub_fabric,metasub_fairbanks,metasub_fake_leather,metasub_faux_leather,metasub_flesh,metasub_floor,metasub_formica,metasub_fukuoka,metasub_glass,metasub_glass_rubber_plastic,metasub_granite,metasub_hamilton,metasub_hand,metasub_hanoi,metasub_hong_kong,metasub_human_hand,metasub_ilorin,metasub_islington,metasub_jaywick,metasub_kensington,metasub_kuala_lumpur,metasub_kyiv,metasub_lands_end,metasub_leather,metasub_leather_seat,metasub_lisbon,metasub_london,metasub_marble,metasub_marble-like,metasub_marseille,metasub_metal,metasub_metal/plastic,metasub_metal/rubber,metasub_metal__painted_plastic__plastic,metasub_metal_and_formica,metasub_metal_and_marble,metasub_metal_plastic,metasub_metal_rubber,metasub_metal_with_wooden_handle,metasub_metal_wood,metasub_middle_east,metasub_minneapolis,metasub_naples,metasub_neg_control,metasub_negative_control,metasub_negative_control_(air),metasub_new_ork_city,metasub_newcastle,metasub_north_america,metasub_oceania,metasub_offa,metasub_oslo,metasub_other_control,metasub_painted_metal,metasub_painted_wood,metasub_paper,metasub_paris,metasub_plaster,metasub_plastic,metasub_plastic_and_glass,metasub_plastic_and_rubber,metasub_plastic_wool_like_belt,metasub_pole,metasub_polyester,metasub_porto,metasub_pos_control,metasub_positive_control,metasub_positive_control_zymo,metasub_pvc,metasub_rio_de_janeiro,metasub_rope,metasub_rubber,metasub_sacramento,metasub_santiago,metasub_seat,metasub_sendai,metasub_seoul,metasub_singapore,metasub_skin,metasub_sofia,metasub_south_america,metasub_st_louis,metasub_stainless_steel,metasub_stockholm,metasub_stone,metasub_sub_saharan_africa,metasub_swansea,metasub_synthetic,metasub_synthetic_leather,metasub_taipei,metasub_tile,metasub_tiles,metasub_tokyo,metasub_touchscreen_surface,metasub_tsuruoka,metasub_vienna,metasub_vinyl,metasub_water,metasub_wood,metasub_zurich,optimal_ph,optimal_temperature,pathogenicity,plant_pathogen,salinity_concentration/range(w/v),spore_forming,virus_lineage,virus_name
Agaricus bisporus,5341,species,,,,,,,,Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Agaricaceae; Agaricus,Agaricus bisporus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Barnaviridae; Barnavirus",Mushroom bacilliform virus
Alternaria alternata,5599,species,,,,,,,,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Pleosporaceae; Alternaria; Alternaria alternata complex,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viruses; dsRNA viruses; Chrysoviridae; Chrysovirus; unclassified Chrysovirus, Viruses; dsRNA viruses; unclassified dsRNA viruses","Alternaria alternata virus 1, Alternaria alternata chrysovirus 1"
Alternaria arborescens,156630,species,,,,,,,,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Pleosporaceae; Alternaria,Alternaria arborescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Narnaviridae; Mitovirus; unclassified Mitovirus, Viruses; dsRNA viruses; Totiviridae; Victorivirus; unclassified Victorivirus","Alternaria arborescens mitovirus 1, Alternaria arborescens victorivirus 1"
Alternaria brassicicola,29001,species,,,,,,,,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Pleosporaceae; Alternaria,Alternaria brassicicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viruses; dsRNA viruses; Endornaviridae; Betaendornavirus, Viruses; unclassified viruses","Alternaria brassicicola betaendornavirus 1, Alternaria brassicicola fusarivirus 1"
Alternaria longipes,160389,species,,,,,,,,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Pleosporaceae; Alternaria,Alternaria longipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viruses; dsRNA viruses; unclassified dsRNA viruses,Alternaria longipes dsRNA virus 1
Antonospora locustae,278021,species,,,,,,,,Eukaryota; Fungi; Microsporidia; Antonospora,Antonospora locustae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viruses; dsRNA viruses; Amalgaviridae; unclassified Amalgaviridae,Antonospora locustae virus 1
Aspergillus clavatus,5057,species,Sometimes,Maybe Not,Never,Mesophiles,,Negative,,,,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,Maybe Not,,Always,,
Aspergillus flavus,5059,species,Sometimes,Maybe Not,Never,Mesophiles,,Negative,,,,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,37.0,0.0,Maybe Not,,Always,,
Aspergillus foetidus,63131,species,,,,,,,,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus,Aspergillus foetidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viruses; dsRNA viruses; unclassified dsRNA viruses, Viruses; dsRNA viruses; Totiviridae; Victorivirus","Aspergillus foetidus slow virus 1, Aspergillus foetidus dsRNA mycovirus"
Aspergillus fumigatus,746128,species,Maybe Not,Maybe Not,Never,Extremophile,,Negative,,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus,Aspergillus fumigatus,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,Maybe Not,,Always,"Viruses; dsRNA viruses; Chrysoviridae; Chrysovirus, Viruses; unclassified RNA viruses, Viruses; dsRNA viruses; Partitiviridae; unclassified Partitiviridae","Aspergillus fumigatus chrysovirus, Aspergillus fumigatus partitivirus 2, Aspergillus fumigatus polymycovirus 1"
