,0,1
Unnamed: 0,368.0,
scientific_name,368.0,7519.0
taxonomic_id,368.0,7519.0
rank,368.0,7519.0
organism_name_x,22.0,
genome availability,22.0,
salinity concentration/range(w/v),22.0,
halotolerance classification,22.0,
unnamed: 0_x,13.0,
metasub_offa,13.0,837.0
metasub_new_york_city,13.0,
metasub_rio_de_janeiro,13.0,837.0
metasub_fairbanks,13.0,837.0
metasub_porto,13.0,837.0
metasub_auckland,13.0,837.0
metasub_hamilton,13.0,837.0
metasub_sacramento,13.0,837.0
metasub_santiago,13.0,837.0
metasub_berlin,13.0,837.0
metasub_bogota,13.0,837.0
metasub_tokyo,13.0,837.0
metasub_ilorin,13.0,837.0
metasub_denver,13.0,837.0
metasub_lands_end,13.0,837.0
metasub_birmingham,13.0,837.0
metasub_newcastle,13.0,837.0
metasub_bury,13.0,837.0
metasub_eden,13.0,837.0
metasub_edinborough,13.0,837.0
metasub_jaywick,13.0,837.0
metasub_eastbourne,13.0,837.0
metasub_bradford,13.0,837.0
metasub_bristol,13.0,837.0
metasub_other_x,13.0,
metasub_belfast,13.0,837.0
metasub_swansea,13.0,837.0
metasub_islington,13.0,837.0
metasub_kensington,13.0,837.0
metasub_cairngorm,13.0,837.0
metasub_pos_control,13.0,837.0
metasub_neg_control,13.0,837.0
metasub_london,13.0,837.0
metasub_kyiv,13.0,837.0
metasub_singapore,13.0,837.0
metasub_other_control,13.0,837.0
metasub_sao paulo,13.0,
metasub_fukuoka,13.0,837.0
metasub_san francisco,13.0,
metasub_taipei,13.0,837.0
metasub_yamaguchi,13.0,
metasub_minneapolis,13.0,837.0
metasub_baltimore,13.0,837.0
metasub_brisbane,13.0,837.0
metasub_tsuruoka,13.0,837.0
metasub_san_francisco,13.0,
metasub_sendai,13.0,837.0
metasub_antarctica,13.0,837.0
metasub_lisbon,13.0,837.0
metasub_doha,13.0,837.0
metasub_hong_kong,13.0,837.0
metasub_oslo,13.0,837.0
metasub_control_x,13.0,
metasub_stockholm,13.0,837.0
metasub_paris,13.0,837.0
metasub_hanoi,13.0,837.0
metasub_sao_paulo,13.0,
metasub_vienna,13.0,837.0
metasub_sofia,13.0,837.0
metasub_naples,13.0,837.0
metasub_marseille,13.0,837.0
metasub_seoul,13.0,837.0
metasub_st_louis,13.0,837.0
metasub_zurich,13.0,837.0
metasub_kuala_lumpur,13.0,837.0
metasub_barcelona,13.0,837.0
unnamed: 0_y,13.0,
metasub_sub_saharan_africa,13.0,837.0
metasub_north_america,13.0,837.0
metasub_south_america,13.0,837.0
metasub_europe,13.0,837.0
metasub_oceania,13.0,837.0
metasub_east_asia,13.0,837.0
metasub_middle_east,13.0,837.0
unnamed: 0,13.0,
metasub_wood,13.0,837.0
metasub_rubber,13.0,837.0
metasub_metal,13.0,837.0
metasub_leather,13.0,837.0
metasub_tile,13.0,837.0
metasub_other_y,13.0,
metasub_plastic,13.0,837.0
metasub_glass,13.0,837.0
metasub_stainless steel,13.0,
metasub_fabric,13.0,837.0
metasub_concrete,13.0,837.0
metasub_marble,13.0,837.0
metasub_marble-like,13.0,837.0
metasub_faux leather,13.0,
metasub_(faux?) leather,13.0,
metasub_bmat,13.0,837.0
metasub_carpet,13.0,837.0
metasub_metal and marble,13.0,
metasub_vinyl,13.0,837.0
metasub_painted_metal,13.0,837.0
metasub_metal_plastic,13.0,837.0
metasub_granite,13.0,837.0
metasub_-,13.0,837.0
metasub_metal_wood,13.0,837.0
metasub_pvc,13.0,837.0
"metasub_metal, painted plastic, plastic",13.0,
metasub_air control,13.0,
metasub_air,13.0,837.0
metasub_positive control zymo,13.0,
metasub_control air,13.0,
metasub_negative control (air),13.0,
metasub_metal/rubber,13.0,837.0
metasub_negative control,13.0,
metasub_metal rubber,13.0,
metasub_stone,13.0,837.0
metasub_polyester,13.0,837.0
metasub_touchscreen surface,13.0,
metasub_skin,13.0,837.0
metasub_plaster,13.0,837.0
metasub_cloth,13.0,837.0
metasub_artificial fiber,13.0,
metasub_copper wire,13.0,
metasub_asbestos,13.0,837.0
metasub_rope,13.0,837.0
metasub_plastic wool like belt,13.0,
metasub_tiles,13.0,837.0
metasub_paper,13.0,837.0
metasub_chair,13.0,837.0
metasub_plastic and glass,13.0,
metasub_leather seat,13.0,
metasub_positive control,13.0,
metasub_water,13.0,837.0
metasub_ceramic,13.0,837.0
metasub_fake leather,13.0,
metasub_control_y,13.0,
metasub_metal/plastic,13.0,837.0
metasub_not identified,13.0,
metasub_flesh,13.0,837.0
metasub_human hand,13.0,
metasub_hand,13.0,837.0
metasub_metal with wooden handle,13.0,
metasub_painted wood,13.0,
metasub_seat,13.0,837.0
metasub_floor,13.0,837.0
metasub_glass rubber plastic,13.0,
metasub_cement,13.0,837.0
metasub_synthetic leather,13.0,
metasub_cell cover and screen,13.0,
metasub_plastic and rubber,13.0,
metasub_synthetic,13.0,837.0
metasub_formica,13.0,837.0
metasub_metal and formica,13.0,
metasub_cell-phone screen and plastic cover,13.0,
metasub_(probable) polypropylene fiber,13.0,
metasub_pole,13.0,837.0
metasub_carpet fabric,13.0,
virus tax id,297.0,
virus name,297.0,
virus lineage,297.0,
refseq id,297.0,
kegg genome,1.0,
kegg disease,0.0,
disease,0.0,85.0
host tax id,297.0,
host name,297.0,
host lineage,297.0,
pmid,32.0,
evidence,271.0,
sample type,0.0,
source organism,0.0,
organism_name_y,102.0,
gram_stain,102.0,2052.0
gram_stain_citation,102.0,
microbiome_location,102.0,
microbiome_location_citation,102.0,
antimicrobial_susceptibility,102.0,2052.0
antimicrobial_susceptibility_citation,102.0,
optimal_temperature,102.0,2052.0
