,0,1
Unnamed: 0,10100.0,
scientific_name,10100.0,7519.0
taxonomic_id,10100.0,7519.0
rank,10100.0,7519.0
unnamed: 0_x,990.0,
metasub_offa,990.0,837.0
metasub_new_york_city,990.0,
metasub_rio_de_janeiro,990.0,837.0
metasub_fairbanks,990.0,837.0
metasub_porto,990.0,837.0
metasub_auckland,990.0,837.0
metasub_hamilton,990.0,837.0
metasub_sacramento,990.0,837.0
metasub_santiago,990.0,837.0
metasub_berlin,990.0,837.0
metasub_bogota,990.0,837.0
metasub_tokyo,990.0,837.0
metasub_ilorin,990.0,837.0
metasub_denver,990.0,837.0
metasub_lands_end,990.0,837.0
metasub_birmingham,990.0,837.0
metasub_newcastle,990.0,837.0
metasub_bury,990.0,837.0
metasub_eden,990.0,837.0
metasub_edinborough,990.0,837.0
metasub_jaywick,990.0,837.0
metasub_eastbourne,990.0,837.0
metasub_bradford,990.0,837.0
metasub_bristol,990.0,837.0
metasub_other_x,990.0,
metasub_belfast,990.0,837.0
metasub_swansea,990.0,837.0
metasub_islington,990.0,837.0
metasub_kensington,990.0,837.0
metasub_cairngorm,990.0,837.0
metasub_pos_control,990.0,837.0
metasub_neg_control,990.0,837.0
metasub_london,990.0,837.0
metasub_kyiv,990.0,837.0
metasub_singapore,990.0,837.0
metasub_other_control,990.0,837.0
metasub_sao paulo,990.0,
metasub_fukuoka,990.0,837.0
metasub_san francisco,990.0,
metasub_taipei,990.0,837.0
metasub_yamaguchi,990.0,
metasub_minneapolis,990.0,837.0
metasub_baltimore,990.0,837.0
metasub_brisbane,990.0,837.0
metasub_tsuruoka,990.0,837.0
metasub_san_francisco,990.0,
metasub_sendai,990.0,837.0
metasub_antarctica,990.0,837.0
metasub_lisbon,990.0,837.0
metasub_doha,990.0,837.0
metasub_hong_kong,990.0,837.0
metasub_oslo,990.0,837.0
metasub_control_x,990.0,
metasub_stockholm,990.0,837.0
metasub_paris,990.0,837.0
metasub_hanoi,990.0,837.0
metasub_sao_paulo,990.0,
metasub_vienna,990.0,837.0
metasub_sofia,990.0,837.0
metasub_naples,990.0,837.0
metasub_marseille,990.0,837.0
metasub_seoul,990.0,837.0
metasub_st_louis,990.0,837.0
metasub_zurich,990.0,837.0
metasub_kuala_lumpur,990.0,837.0
metasub_barcelona,990.0,837.0
unnamed: 0_y,990.0,
metasub_sub_saharan_africa,990.0,837.0
metasub_north_america,990.0,837.0
metasub_south_america,990.0,837.0
metasub_europe,990.0,837.0
metasub_oceania,990.0,837.0
metasub_east_asia,990.0,837.0
metasub_middle_east,990.0,837.0
unnamed: 0,990.0,
metasub_wood,990.0,837.0
metasub_rubber,990.0,837.0
metasub_metal,990.0,837.0
metasub_leather,990.0,837.0
metasub_tile,990.0,837.0
metasub_other_y,990.0,
metasub_plastic,990.0,837.0
metasub_glass,990.0,837.0
metasub_stainless steel,990.0,
metasub_fabric,990.0,837.0
metasub_concrete,990.0,837.0
metasub_marble,990.0,837.0
metasub_marble-like,990.0,837.0
metasub_faux leather,990.0,
metasub_(faux?) leather,990.0,
metasub_bmat,990.0,837.0
metasub_carpet,990.0,837.0
metasub_metal and marble,990.0,
metasub_vinyl,990.0,837.0
metasub_painted_metal,990.0,837.0
metasub_metal_plastic,990.0,837.0
metasub_granite,990.0,837.0
metasub_-,990.0,837.0
metasub_metal_wood,990.0,837.0
