,scientific_name,counts
0,20S RNA replicon,0
1,AKT8 retrovirus,0
2,ANAJ Hantavirus,0
3,ANMV-1 virus,0
4,APSE phage Eptesicus fuscus/P5/IT/USA/2009,0
5,Aalivirus,0
6,Aalivirus A,0
7,Abaca bunchy top virus,7
8,Abalone herpesvirus Taiwan/2004,0
9,Abalone herpesvirus Taiwan/2005,0
10,Abalone shriveling syndrome-associated virus,2
11,Abelson murine leukemia virus,7
12,Abidjanvirus,0
13,Abisko virus,2
14,Abouovirus,0
15,Abutilon Brazil virus,6
16,Abutilon geminivirus,0
17,Abutilon golden mosaic virus,0
18,Abutilon mosaic Bolivia virus,6
19,Abutilon mosaic Brazil virus,6
20,Abutilon mosaic virus,7
21,Abutilon yellow mosaic virus,0
22,Abutilon yellows virus,0
23,Academ virus,0
24,Acadianvirus,0
25,Acalypha yellow mosaic Siliguri virus,0
26,Acalypha yellow mosaic virus,0
27,Acanthamoeba castellanii mamavirus,2
28,Acanthamoeba castellanii medusavirus,0
29,Acanthamoeba castellanii mimivirus,0
30,Acanthamoeba polyphaga lentillevirus,0
31,Acanthamoeba polyphaga mimivirus,7
32,Acanthamoeba polyphaga moumouvirus,2
33,Acanthocystis turfacea Chlorella virus Br0604L,0
34,Acanthocystis turfacea Chlorella virus Can0610SP,0
35,Acanthocystis turfacea Chlorella virus Canal-1,0
36,Acanthocystis turfacea Chlorella virus GM0701.1,0
37,Acanthocystis turfacea Chlorella virus MN0810.1,0
38,Acanthocystis turfacea Chlorella virus MO0605SPH,0
39,Acanthocystis turfacea Chlorella virus NE-JV-2,0
40,Acanthocystis turfacea Chlorella virus NE-JV-3,0
41,Acanthocystis turfacea Chlorella virus NTS-1,0
42,Acanthocystis turfacea Chlorella virus OR0704.3,0
43,Acanthocystis turfacea Chlorella virus TN603.4.2,0
44,Acanthocystis turfacea Chlorella virus WI0606,0
45,Acanthocystis turfacea chlorella virus 1,2
46,Acanthurus bariene nervous necrosis virus,0
47,Acanthurus dussumieri iridovirus,0
48,Acartia tonsa copepod circovirus,5
49,Acaryochloris phage A-HIS1,0
50,Acaryochloris phage A-HIS2,0
51,Ace Lake Mavirus,0
52,Acerodon celebensis polyomavirus 1,0
53,Acerodon celebensis polyomavirus 2,0
54,Acetes erythraeus iridovirus,0
55,Acetobacter phage Acm1,0
56,Achaea faber nucleopolyhedrovirus,0
57,Achaea janata granulovirus,0
58,Acheta domesticus virus,0
59,Acheta domesticus volvovirus,6
60,Achimota pararubulavirus 1,0
61,Achimota pararubulavirus 2,0
62,Achimota rubulavirus 1,0
63,Achimota rubulavirus 2,0
64,Acholeplasma virus L2,2
65,Acholeplasma virus L51,0
66,Achromobacter phage JWDelta,2
67,Achromobacter phage JWF,2
68,Achromobacter phage phiAxp-1,2
69,Achromobacter phage phiAxp-2,2
70,Achromobacter virus 83-24,0
71,Achromobacter virus Axp3,0
72,Achromobacter virus JWAlpha,0
73,Achromobacter virus JWX,0
74,Acidianus bottle-shaped virus,2
75,Acidianus bottle-shaped virus 2,2
76,Acidianus bottle-shaped virus 3,2
77,Acidianus filamentous virus 1,3
78,Acidianus filamentous virus 2,3
79,Acidianus filamentous virus 3,2
80,Acidianus filamentous virus 6,2
81,Acidianus filamentous virus 7,2
82,Acidianus filamentous virus 8,2
83,Acidianus filamentous virus 9,2
84,Acidianus rod-shaped virus 1,2
85,Acidianus rod-shaped virus 2,2
86,Acidianus spindle-shaped virus 1,2
87,Acidianus tailed spindle virus,2
88,Acidianus two-tailed virus,2
89,Acidianus two-tailed virus 2,0
90,Acidianus two-tailed virus variant 1,0
91,Acidithiobacillus phage AcaML1,2
92,Acidovorax phage ACPWH,0
93,Acidovorax virus ACP17,0
94,Acinetobacter phage ABP-01,0
95,Acinetobacter phage ABP-04,0
96,Acinetobacter phage ABPH49,0
97,Acinetobacter phage ABPK48-2,0
98,Acinetobacter phage AJO1,0
99,Acinetobacter phage AJO2,0
100,Acinetobacter phage AM106,0
101,Acinetobacter phage AM24,0
102,Acinetobacter phage AP205,6
103,Acinetobacter phage Ab105-1phi,0
104,Acinetobacter phage Ab105-2phi,0
105,Acinetobacter phage Ab105-3phi,0
106,Acinetobacter phage AbKT21phiIII,0
107,Acinetobacter phage AbTJ,0
108,Acinetobacter phage AbTZA1,0
109,Acinetobacter phage Abp53,0
110,Acinetobacter phage Ac42,5
111,Acinetobacter phage Acj61,5
112,Acinetobacter phage Acj9,5
113,Acinetobacter phage Bphi-B1251,2
114,Acinetobacter phage Henu6,0
115,Acinetobacter phage IME_AB3,2
116,Acinetobacter phage KARL-1,0
117,Acinetobacter phage PBAB08,0
118,Acinetobacter phage PBAB25,0
119,Acinetobacter phage Petty,2
120,Acinetobacter phage Presley,2
121,Acinetobacter phage RL-2015,0
122,Acinetobacter phage SH-Ab 15497,0
123,Acinetobacter phage SH-Ab 15599,0
124,Acinetobacter phage SWH-Ab-1,0
125,Acinetobacter phage TAC1,0
126,Acinetobacter phage YMC11/12/R1215,0
127,Acinetobacter phage YMC11/12/R2315,2
128,Acinetobacter phage YMC13/03/R2096,2
129,Acinetobacter phage ZZ1,5
130,Acinetobacter phage ZZon-2017a,0
131,Acinetobacter phage ZaA-2018a,0
132,Acinetobacter phage ZaA-2018b,0
133,Acinetobacter phage phiAB11,0
134,Acinetobacter phage phiAB2,0
135,Acinetobacter phage phiAB6,2
136,Acinetobacter phage phiAC-1,2
137,Acinetobacter phage vB_AbaM_Acibel004,2
138,Acinetobacter phage vB_AbaM_B09_Aci01-1,0
139,Acinetobacter phage vB_AbaM_B09_Aci02-2,0
140,Acinetobacter phage vB_AbaM_B09_Aci05,0
141,Acinetobacter phage vB_AbaM_B9,0
142,Acinetobacter phage vB_AbaM_phiAbaA1,2
143,Acinetobacter phage vB_AbaP_46-62_Aci07,0
144,Acinetobacter phage vB_AbaP_AS11,0
145,Acinetobacter phage vB_AbaP_AS12,0
146,Acinetobacter phage vB_AbaP_Acibel007,2
147,Acinetobacter phage vB_AbaP_B09_Aci08,0
148,Acinetobacter phage vB_AbaP_B1,0
149,Acinetobacter phage vB_AbaP_B3,0
150,Acinetobacter phage vB_AbaP_B5,0
151,Acinetobacter phage vB_AbaP_CEB1,0
152,Acinetobacter phage vB_AbaP_CEB2,0
153,Acinetobacter phage vB_AbaP_D2,0
154,Acinetobacter phage vB_AbaS_D0,0
155,Acinetobacter phage vB_AbaS_Loki,0
156,Acinetobacter phage vB_AbaS_TRS1,2
157,Acinetobacter phage vB_ApiM_fHyAci03,0
158,Acinetobacter phage vB_ApiP_P1,0
159,Acinetobacter phage vB_ApiP_P2,0
160,Acinetobacter phage vB_KpnM_IME284,0
161,Acinetobacter phage vB_KpnM_IME285,0
162,Acinetobacter phage vB_KpnM_IME512,0
163,Acinetobacter phage vB_phiAcib_BQ1,0
164,Acinetobacter phage vB_phiAcib_BQ2,0
165,Acinetobacter phage vB_phiAcib_BQ3,0
166,Acinetobacter phage vB_phiAcib_BQ4,0
167,Acinetobacter virus 133,2
168,Acinetobacter virus AB1,0
169,Acinetobacter virus AB2,0
170,Acinetobacter virus AB3,0
171,Acinetobacter virus AP22,0
172,Acinetobacter virus AbC62,0
173,Acinetobacter virus AbP2,0
174,Acinetobacter virus Abp1,0
175,Acinetobacter virus Fri1,0
176,Acinetobacter virus IME200,0
177,Acinetobacter virus LZ35,0
178,Acinetobacter virus ME3,0
179,Acinetobacter virus PD6A3,0
180,Acinetobacter virus PDAB9,0
181,Acinetobacter virus R3177,0
182,Acinetobacter virus SH-Ab 15519,0
183,Acinetobacter virus WCHABP1,0
184,Acinetobacter virus WCHABP12,0
185,Acinetobacter virus WCHABP5,0
186,Acinetobacter virus phiAB1,0
187,Acinopterus angulatus reovirus,0
188,Acipenser iridovirus-European,0
189,Acipenserid herpesvirus 1,0
190,Acipenserid herpesvirus 2,0
191,Acipenserid herpesvirus 3,0
192,Ackermannviridae,0
193,"Acomys herpesvirus SVMS 226,222",0
194,Aconitum latent virus,2
195,Acropoma japonicum iridovirus,0
196,Acropoma japonicum nervous necrosis virus,0
197,Acropora pruinosa phage,0
198,Actinidia seed-borne latent virus,2
199,Actinidia virus 1,2
200,Actinidia virus A,0
201,Actinidia virus B,2
202,Actinidia virus X,2
203,Actinomyces phage xhp1,0
204,Actinomyces virus Av1,2
205,Actinophage JHJ-1,0
206,Actinophage JHJ-3,0
207,Actinophage Q5,0
208,Actinophage RP3,0
209,Actinoplanes phage phiAsp2,5
210,Acute bee paralysis virus,2
211,Acyrthosiphon pisum virus,6
212,Adelaide River ephemerovirus,0
213,Adelphocoris suturalis virus,2
214,Adeno-Associated Virus Clade A,0
215,Adeno-Associated Virus Clade C,0
216,Adeno-Associated Virus Clade D,0
217,Adeno-Associated Virus PREDICT_AaV-10,0
218,Adeno-Associated Virus PREDICT_AaV-11,0
219,Adeno-Associated Virus PREDICT_AaV-5,0
220,Adeno-Associated Virus PREDICT_AaV-6,0
221,Adeno-Associated Virus PREDICT_AaV-7,0
222,Adeno-Associated Virus PREDICT_AaV-8,0
223,Adeno-Associated Virus PREDICT_AaV-9,0
224,Adeno-Associated Virus rh.8,0
225,Adeno-associated virus,2
226,Adenoviridae,0
227,Adenovirus Hu/CUHKA4751/2008/HKG,0
228,Adenovirus Hu/CUHKA5073/2008/HKG,0
229,Adenovirus Hu/CUHKA5173/2008/HKG,0
230,Adenovirus Hu/CUHKA5330/2008/HKG,0
231,Adenovirus Hu/CUHKA5509/2008/HKG,0
232,Adenovirus Hu/CUHKA6696/2008/HKG,0
233,Adenovirus Hu/CUHKA6807/2008/HKG,0
234,Adenovirus Hu/RJ/2006-08/Brazil/2006,0
235,Adenovirus Hu/RJ/2006-13/Brazil/2006,0
236,Adenovirus Hu/RJ/2006-14/Brazil/2006,0
237,Adenovirus Hu/RJ/2008-317/Brazil/2008,0
238,Adenovirus Hu/RJ/2008-318/Brazil/2008,0
239,Adenovirus Hu/RJ/2008-319/Brazil/2008,0
240,Adenovirus Hu/RJ/2008-320/Brazil/2008,0
241,Adenovirus Hu/RJ/2008-322/Brazil/2008,0
242,Adenovirus Hu/RJ/2008-323/Brazil/2008,0
243,Adenovirus Hu/RJ/2008-324/Brazil/2008,0
244,Adenovirus Hu/RJ/2008-334/Brazil/2008,0
245,Adenovirus Hu/RJ/2008-335/Brazil/2008,0
246,Adenovirus Hu/RJ/2008-337/Brazil/2008,0
247,Adenovirus Hu/RJ/2008-338/Brazil/2008,0
248,Adenovirus Hu/RJ/2008-339/Brazil/2008,0
249,Adenovirus Hu/RJ/2008-340/Brazil/2008,0
250,Adenovirus Hu/RJ/2008-341/Brazil/2008,0
251,Adenovirus Hu/RJ/2008-342/Brazil/2008,0
252,Adenovirus Hu/RJ/2008-356/Brazil/2008,0
253,Adenovirus Lopburi057/2006/THA,0
254,Adenovirus Lopburi070/2006/THA,0
255,Adenovirus Lopburi073/2006/THA,0
256,Adenovirus Lopburi078/2006/THA,0
257,Adenovirus PREDICT_AdV-69,0
258,Adenovirus PREDICT_AdV-72,0
259,Adenovirus red squirrel/DEU/JK-2011,0
260,Adenovirus squirrel/96-29/KOR,0
261,Adenovirus squirrel/GBR/SG-2012,0
262,Adler hantavirus,0
263,Adomaviridae,0
264,Adonis mosaic virus,0
265,Adoxophyes honmai entomopoxvirus,0
266,Adoxophyes honmai granulovirus,0
267,Adoxophyes honmai nucleopolyhedrovirus,3
268,Adoxophyes orana granulovirus,6
269,Adoxophyes orana nucleopolyhedrovirus,4
270,Aedes aegypti Thai densovirus,0
271,Aedes aegypti anphevirus,0
272,Aedes alboannulatus toti-like virus 1,2
273,Aedes albopictus densovirus 5,0
274,Aedes albopictus densovirus 7,0
275,Aedes albopictus nodavirus ArB-2019a,0
276,Aedes angustivittatus narnavirus,0
277,Aedes anphevirus,0
278,Aedes camptorhynchus negev-like virus,2
279,Aedes camptorhynchus reo-like virus,2
280,Aedes camptorhynchus toti-like virus 1,2
281,Aedes flavivirus,6
282,Aedes galloisi flavivirus,0
283,Aedes pseudoscutellaris reovirus,2
284,Aedes taeniorhynchus narnavirus,0
285,Aeonium ringspot virus,2
286,Aeribacillus phage AP45,0
287,Aerococcus phage vB_AviM_AVP,0
288,Aeromonas phage 13AhydR10PP,0
289,Aeromonas phage 14AhydR10PP,0
290,Aeromonas phage 2-L372D,0
291,Aeromonas phage 25AhydR2PP,0
292,Aeromonas phage 2_D05,0
293,Aeromonas phage 3,0
294,Aeromonas phage 31.2,0
295,Aeromonas phage 32,0
296,Aeromonas phage 44RR2.8t.2,0
297,Aeromonas phage 50AhydR13PP,0
298,Aeromonas phage 51,0
299,Aeromonas phage 59.1,0
300,Aeromonas phage 60AhydR15PP,0
301,Aeromonas phage 62AhydR11PP,0
302,Aeromonas phage 65.2,0
303,Aeromonas phage 85AhydR10PP,0
304,Aeromonas phage AS-sw,0
305,Aeromonas phage AS-szw,0
306,Aeromonas phage AS-yj,0
307,Aeromonas phage AS-zj,0
308,Aeromonas phage Aes002,0
309,Aeromonas phage Aes007,0
310,Aeromonas phage Aes120,0
311,Aeromonas phage Aes123,0
312,Aeromonas phage Aes144,0
313,Aeromonas phage Aes151,0
314,Aeromonas phage Aes509,0
315,Aeromonas phage Aes512,0
316,Aeromonas phage Aes516,0
317,Aeromonas phage Aes517,0
318,Aeromonas phage Ah1,0
319,Aeromonas phage AhSzq-1,0
320,Aeromonas phage AhSzw-1,0
321,Aeromonas phage Ahp1,0
322,Aeromonas phage Ahp2,0
323,Aeromonas phage Akh-2,0
324,Aeromonas phage AsFcp_2,0
325,Aeromonas phage AsFcp_4,0
326,Aeromonas phage AsXd-1,0
327,Aeromonas phage Asfd_1,0
328,Aeromonas phage Assk,0
329,Aeromonas phage Asswx_1,0
330,Aeromonas phage Aswh_1,0
331,Aeromonas phage CC2,5
332,Aeromonas phage CF7,0
333,Aeromonas phage CF8,0
334,Aeromonas phage DH1,0
335,Aeromonas phage L9-6,0
336,Aeromonas phage PAS-1,0
337,Aeromonas phage PX29,2
338,Aeromonas phage Riv-10,0
339,Aeromonas phage SD04,0
340,Aeromonas phage SW69-9,0
341,Aeromonas phage VTCCBP2,0
342,Aeromonas phage VTCCBPA5,0
343,Aeromonas phage ZPAH7,0
344,Aeromonas phage ZPAH7B,0
345,Aeromonas phage pAh6-C,2
346,Aeromonas phage phiA8-29,0
347,Aeromonas phage phiARM81ld,0
348,Aeromonas phage phiARM81mr,0
349,Aeromonas phage phiAS5,5
350,Aeromonas phage phiAS7,5
351,Aeromonas phage vB_AsoP_Ca,0
352,Aeromonas virus 25,2
353,Aeromonas virus 31,2
354,Aeromonas virus 44RR2,2
355,Aeromonas virus 56,0
356,Aeromonas virus 65,2
357,Aeromonas virus AS4,0
358,Aeromonas virus Aeh1,2
359,Aeromonas virus Aes12,0
360,Aeromonas virus Aes508,0
361,Aeromonas virus Asgz,0
362,Aeromonas virus pIS4A,0
363,Aeromonas virus phiO18P,2
364,Aeropyrum coil-shaped virus,2
365,Aeropyrum globular virus 1,2
366,Aeropyrum pernix bacilliform virus 1,0
367,Aeropyrum pernix ovoid virus 1,2
368,Aeropyrum pernix spindle-shaped virus 1,2
369,Aesopia cornuta ranavirus,0
370,African bat icavirus A,0
371,African cassava mosaic Burkina Faso virus,2
372,African cassava mosaic virus,7
373,African cichlid hepadnavirus,0
374,African cichlid nackednavirus,0
375,African eggplant mosaic virus,0
376,African eggplant yellowing virus,2
377,African green monkey polyomavirus,3
378,African green monkey simian foamy virus,6
379,African horse sickness virus,8
380,African oil palm ringspot virus,2
381,African swine fever virus,7
382,Afrovirus Urmite69,0
383,Agama adenovirus 1 REM-2013,0
384,Agamid adenovirus 1,0
385,Agamid atadenovirus Ben,0
386,Agamid atadenovirus Well,0
387,Agassiz Rock virus,0
388,Agatevirus,0
389,Agave tequilana leaf virus,2
390,Ageratum Yellow vein China virus - OX1,2
391,Ageratum conyzoides associated symptomless alphasatellite,2
392,Ageratum conyzoides symptomless alphasatellite,2
393,Ageratum enation alphasatellite,6
394,Ageratum enation virus,7
395,Ageratum enation virus associated DNA 1,2
396,Ageratum latent virus,6
397,Ageratum leaf curl Buea betasatellite,2
398,Ageratum leaf curl Cameroon alphasatellite,2
399,Ageratum leaf curl Cameroon betasatellite,6
400,Ageratum leaf curl Cameroon virus,2
401,Ageratum leaf curl betasatellite,6
402,Ageratum leaf curl virus,5
403,Ageratum symptomless virus,0
404,Ageratum yellow leaf curl betasatellite,6
405,Ageratum yellow vein China alphasatellite,2
406,Ageratum yellow vein China betasatellite,5
407,Ageratum yellow vein China virus,5
408,Ageratum yellow vein Hualian virus,7
409,Ageratum yellow vein India alphasatellite,2
410,Ageratum yellow vein Pakistan alphasatellite,2
411,Ageratum yellow vein Singapore alphasatellite,6
412,Ageratum yellow vein Sri Lanka virus,7
413,Ageratum yellow vein Taiwan virus,7
414,Ageratum yellow vein alphasatellite,2
415,Ageratum yellow vein betasatellite,6
416,Ageratum yellow vein virus,7
417,Ageyesisatellite,0
418,Aggregatibacter phage Aabphi01,0
419,Aggregatibacter phage S1249,5
420,Aglais urticae nucleopolyhedrovirus,0
421,Aglaonema bacilliform virus,0
422,Aglimvirinae,0
423,Agraulis vanillae MNPV,0
424,Agraulis vanillae nucleopolyhedrovirus,0
425,Agricanvirus,0
426,Agrobacterium phage 7-7-1,2
427,Agrobacterium phage Atu_ph02,0
428,Agrobacterium phage Atu_ph03,0
